part_number,part_name,available_qty,reorder_point_qty
SKU-OPT-0001,Arm Deep,184,77
SKU-OPT-0002,Arm Light,188,79
SKU-OPT-0003,Arm Medium,192,81
SKU-OPT-0004,Box Lavender,196,83
SKU-OPT-0005,Box Pastel Pink,200,85
SKU-OPT-0006,Box Ribbon White 1 Meter,204,87
SKU-OPT-0007,Box Tiffany Blue,208,89
SKU-OPT-0008,Eyes Amber,212,91
SKU-OPT-0009,Eyes Blue,216,93
SKU-OPT-0010,Eyes Brown,220,95
SKU-OPT-0011,Eyes Green,224,97
SKU-OPT-0012,Eyes Hazel,228,99
SKU-OPT-0013,Eyes Lavender,232,101
SKU-OPT-0014,Hair Long Black,236,103
SKU-OPT-0015,Hair Long Brown,240,105
SKU-OPT-0016,Hair Long Copper,244,107
SKU-OPT-0017,Hair Long Dreadlocks Black,248,109
SKU-OPT-0018,Hair Long Dreadlocks Brown,252,111
SKU-OPT-0019,Hair Long Dreadlocks Copper,180,75
SKU-OPT-0020,Hair Long Dreadlocks Platinum Blond,184,77
SKU-OPT-0021,Hair Long Dreadlocks Sable,188,79
SKU-OPT-0022,Hair Long Dreadlocks Strawberry Blond,192,81
SKU-OPT-0023,Hair Long Platinum Blond,196,83
SKU-OPT-0024,Hair Long Spiral Black,200,85
SKU-OPT-0025,Hair Long Spiral Brown,204,87
SKU-OPT-0026,Hair Long Spiral Copper,208,89
SKU-OPT-0027,Hair Long Spiral Platinum Blond,212,91
SKU-OPT-0028,Hair Long Spiral Strawberry Blond,216,93
SKU-OPT-0029,Hair Long Straight Black,220,95
SKU-OPT-0030,Hair Long Straight Brown,224,97
SKU-OPT-0031,Hair Long Straight Copper,228,99
SKU-OPT-0032,Hair Long Straight Platinum Blond,232,101
SKU-OPT-0033,Hair Long Straight Sable,236,103
SKU-OPT-0034,Hair Long Straight Strawberry Blond,240,105
SKU-OPT-0035,Hair Long Strawberry Blond,244,107
SKU-OPT-0036,Hair Long Wavy Black,248,109
SKU-OPT-0037,Hair Long Wavy Brown,252,111
SKU-OPT-0038,Hair Long Wavy Copper,180,75
SKU-OPT-0039,Hair Long Wavy Platinum Blond,184,77
SKU-OPT-0040,Hair Long Wavy Sable,188,79
SKU-OPT-0041,Hair Long Wavy Strawberry Blond,192,81
SKU-OPT-0042,Hair Straight Bob Black,196,83
SKU-OPT-0043,Hair Straight Bob Brown,200,85
SKU-OPT-0044,Hair Straight Bob Copper,204,87
SKU-OPT-0045,Hair Straight Bob Platinum Blond,208,89
SKU-OPT-0046,Hair Straight Bob Sable,212,91
SKU-OPT-0047,Hair Straight Bob Strawberry Blond,216,93
SKU-OPT-0048,Head Square,220,95
SKU-OPT-0049,Head Square Deep,224,97
SKU-OPT-0050,Head Square Light,228,99
SKU-OPT-0051,Head Square Medium,232,101
SKU-OPT-0052,Leg Deep,236,103
SKU-OPT-0053,Leg Light,240,105
SKU-OPT-0054,Leg Medium,244,107
